class,order,family,genus,source
Florideophyceae,Ceramiales,Rhodomelaceae,Acanthophora,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,ncbi
Florideophyceae,Gigartinales,Acrotylaceae,Acrotylus,ncbi
Florideophyceae,Nemaliales,Galaxauraceae,Actinotrichia,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Aglaothamnion,ncbi
Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Amansia,ncbi
Florideophyceae,Corallinales,Corallinaceae,Amphiroa,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Anotrichium,ncbi
Florideophyceae,Hildenbrandiales,Hildenbrandiaceae,Apophlaea,ncbi
Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,ncbi
Florideophyceae,Acrochaetiales,Acrochaetiaceae,Audouinella,ncbi
Florideophyceae,Balliales,Balliaceae,Ballia,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Bostrychia,ncbi
Florideophyceae,Rhodymeniales,Rhodymeniaceae,Botryocladia,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Brongniartella,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Callithamnion,ncbi
Florideophyceae,Gigartinales,Solieriaceae,Callophycus,ncbi
Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,ncbi
Florideophyceae,Gigartinales,Caulacanthaceae,Catenella,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,ncbi
Florideophyceae,Rhodymeniales,Champiaceae,Champia,ncbi
Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Chondria,ncbi
Florideophyceae,Gigartinales,Gigartinaceae,Chondrus,ncbi
Florideophyceae,Rhodymeniales,Champiaceae,Chylocladia,ncbi
Florideophyceae,Corallinales,Corallinaceae,Corallina,ncbi
Florideophyceae,Gigartinales,Cystocloniaceae,Craspedocarpus,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,ncbi
Florideophyceae,Nemaliales,Liagoraceae,Cumagloia,ncbi
Florideophyceae,Gracilariales,Gracilariaceae,Curdiea,ncbi
Florideophyceae,Gigartinales,Cystocloniaceae,Cystoclonium,ncbi
Florideophyceae,Ceramiales,Dasyaceae,Dasya,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Delesseria,ncbi
Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Delisea,ncbi
Florideophyceae,Nemaliales,Galaxauraceae,Dichotomaria,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Digenea,ncbi
Florideophyceae,Gigartinales,Dumontiaceae,Dilsea,ncbi
Florideophyceae,Gigartinales,Dumontiaceae,Dumontia,ncbi
Florideophyceae,Gigartinales,Endocladiaceae,Endocladia,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Euptilota,ncbi
Florideophyceae,Gigartinales,Furcellariaceae,Furcellaria,ncbi
Florideophyceae,Nemaliales,Galaxauraceae,Galaxaura,ncbi
Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Georgiella,ncbi
Florideophyceae,Gigartinales,Dumontiaceae,Gibsmithia,ncbi
Florideophyceae,Gigartinales,Gigartinaceae,Gigartina,ncbi
Florideophyceae,Rhodymeniales,Faucheaceae,Gloiocladia,ncbi
Florideophyceae,Gigartinales,Endocladiaceae,Gloiopeltis,ncbi
Florideophyceae,Rhodymeniales,Rhodymeniaceae,Gloiosaccion,ncbi
Florideophyceae,Gigartinales,Gloiosiphoniaceae,Gloiosiphonia,ncbi
Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,ncbi
Florideophyceae,Gracilariales,Gracilariaceae,Gracilariopsis,ncbi
Florideophyceae,Halymeniales,Halymeniaceae,Grateloupia,ncbi
Florideophyceae,Gigartinales,Phyllophoraceae,Gymnogongrus,ncbi
Florideophyceae,Rhodymeniales,Rhodymeniaceae,Halopeltis,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Halopithys,ncbi
Florideophyceae,Ceramiales,Wrangeliaceae,Haloplegma,ncbi
Florideophyceae,Palmariales,Palmariaceae,Halosaccion,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Halurus,ncbi
Florideophyceae,Halymeniales,Halymeniaceae,Halymenia,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Hemineura,ncbi
Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia,ncbi
Florideophyceae,Hildenbrandiales,Hildenbrandiaceae,Hildenbrandia,ncbi
Florideophyceae,Corallinales,Corallinaceae,Hydrolithon,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Hymenena,ncbi
Florideophyceae,Rhodymeniales,Hymenocladiaceae,Hymenocladia,ncbi
Florideophyceae,Gigartinales,Hypneaceae,Hypnea,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Hypoglossum,ncbi
Florideophyceae,Gigartinales,Gigartinaceae,Iridaea,ncbi
Florideophyceae,Corallinales,Corallinaceae,Jania,ncbi
Florideophyceae,Gigartinales,Kallymeniaceae,Kallymenia,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,ncbi
Florideophyceae,Batrachospermales,Lemaneaceae,Lemanea,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Lenormandia,ncbi
Florideophyceae,Nemaliales,Liagoraceae,Liagora,ncbi
Florideophyceae,Nemaliales,Liagoraceae,Liagoropsis,ncbi
Florideophyceae,Rhodymeniales,Lomentariaceae,Lomentaria,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Lophocladia,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Martensia,ncbi
Florideophyceae,Gigartinales,Phyllophoraceae,Mastocarpus,ncbi
Florideophyceae,Hapalidiales,Hapalidiaceae,Mastophoropsis,ncbi
Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Membranoptera,ncbi
Florideophyceae,Corallinales,Corallinaceae,Metamastophora,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Microcladia,ncbi
Florideophyceae,Gigartinales,Mychodeaceae,Mychodea,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Myriogramme,ncbi
Florideophyceae,Corallinales,Corallinaceae,Neogoniolithon,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Neorhodomela,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Neuroglossum,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Nitophyllum,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Odonthalia,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Osmundaria,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Osmundea,ncbi
Florideophyceae,Halymeniales,Halymeniaceae,Pachymenia,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Palisada,ncbi
Florideophyceae,Palmariales,Palmariaceae,Palmaria,ncbi
Florideophyceae,Gelidiales,Gelidiaceae,Parviphycus,ncbi
Florideophyceae,Gigartinales,Peyssonneliaceae,Peyssonnelia,ncbi
Florideophyceae,Gigartinales,Phacelocarpaceae,Phacelocarpus,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Phycodrys,ncbi
Florideophyceae,Gigartinales,Phyllophoraceae,Phyllophora,ncbi
Florideophyceae,Hapalidiales,Hapalidiaceae,Phymatolithon,ncbi
Florideophyceae,Plocamiales,Plocamiaceae,Plocamium,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Plumaria,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Pollexfenia,ncbi
Florideophyceae,Gigartinales,Kallymeniaceae,Polycoelia,ncbi
Florideophyceae,Gigartinales,Polyideaceae,Polyides,ncbi
Florideophyceae,Halymeniales,Halymeniaceae,Polyopes,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,ncbi
Bangiophyceae,Bangiales,Bangiaceae,Porphyra,ncbi
Florideophyceae,Gigartinales,Rhizophyllidaceae,Portieria,ncbi
Florideophyceae,Gelidiales,Gelidiaceae,Pterocladiella,ncbi
Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Ptilonia,ncbi
Florideophyceae,Gelidiales,Gelidiaceae,Ptilophora,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Ptilota,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Rhodomela,ncbi
Florideophyceae,Gigartinales,Cystocloniaceae,Rhodophyllis,ncbi
Florideophyceae,Palmariales,Rhodothamniellaceae,Rhodothamniella,ncbi
Florideophyceae,Rhodymeniales,Rhodymeniaceae,Rhodymenia,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Rytiphlaea,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Schizoseris,ncbi
Florideophyceae,Nemastomatales,Schizymeniaceae,Schizymenia,ncbi
Florideophyceae,Gigartinales,Phyllophoraceae,Schottera,ncbi
Florideophyceae,Nemaliales,Scinaiaceae,Scinaia,ncbi
Florideophyceae,Gigartinales,Solieriaceae,Solieria,ncbi
Florideophyceae,Gigartinales,Peyssonneliaceae,Sonderopelta,ncbi
Florideophyceae,Gigartinales,Sphaerococcaceae,Sphaerococcus,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Spongoclonium,ncbi
Florideophyceae,Gigartinales,Phyllophoraceae,Stenogramma,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Symphyocladia,ncbi
Florideophyceae,Halymeniales,Halymeniaceae,Thamnoclonium,ncbi
Florideophyceae,Plocamiales,Sarcodiaceae,Trematocarpus,ncbi
Florideophyceae,Nemaliales,Galaxauraceae,Tricleocarpa,ncbi
Florideophyceae,Gigartinales,Dicranemataceae,Tylotus,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Vertebrata,ncbi
Florideophyceae,Gigartinales,Dumontiaceae,Weeksia,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Wrightiella,ncbi
Florideophyceae,Nemaliales,Liagoraceae,Yamadaella,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Yuzurua,ncbi
Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Bonnemaisonia,algaebase
Florideophyceae,Ceramiales,Ceramiaceae,Bornetia,algaebase
Florideophyceae,Ceramiales,Rhodomelaceae,Dictyomenia,algaebase
Florideophyceae,Ceramiales,Rhodomelaceae,Echinothamnion,algaebase
Florideophyceae,Ceramiales,Delesseriaceae,Halicnide,algaebase
Florideophyceae,Ceramiales,Rhodomelaceae,Halopitys,algaebase
Florideophyceae,Ceramiales,Rhodomelaceae,Jeannerettia,algaebase
Florideophyceae,Gigartinales,Furcellariaceae,Opuntiella,algaebase
